Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Quarterly;2026;;Q2;Agriculture, Forestry and Fishing;10304.256;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Mining and Quarrying;46410.426;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Electricity, Gas and Water Supplies;248856.239823167;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Wholesale and Retail Trade;218118.707899268;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Transportation and Storage;75517.78661092;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Transportation and Storage;74924.65368734;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Financial and Insurance Activities;184855.574985042;Q1 2026;2026-01-01
Monthly;2026;JAN;;Agriculture, Forestry and Fishing;14053.222;JAN 2026;2026-01-01
Monthly;2026;FEB;;Agriculture, Forestry and Fishing;14208.798;FEB 2026;2026-02-01
Monthly;2026;APR;;Agriculture, Forestry and Fishing;10924.023;APR 2026;2026-04-01
Monthly;2026;MAY;;Agriculture, Forestry and Fishing;10181.122;MAY 2026;2026-05-01
Monthly;2026;JUL;;Mining and Quarrying;46504.827;JUL 2026;2026-07-01
Monthly;2026;APR;;Manufacturing;199634.866928784;APR 2026;2026-04-01
Monthly;2026;MAY;;Manufacturing;202835.729958908;MAY 2026;2026-05-01
Monthly;2026;JUN;;Manufacturing;199422.335918042;JUN 2026;2026-06-01
Monthly;2026;JUL;;Manufacturing;205380.460136757;JUL 2026;2026-07-01
Monthly;2026;MAR;;Electricity, Gas and Water Supplies;222859.214285249;MAR 2026;2026-03-01
Monthly;2026;JAN;;Construction;139268.574221905;JAN 2026;2026-01-01
Monthly;2026;FEB;;Wholesale and Retail Trade;215242.56605915;FEB 2026;2026-02-01
Monthly;2026;MAR;;Wholesale and Retail Trade;218118.707899268;MAR 2026;2026-03-01
Monthly;2026;JUN;;Wholesale and Retail Trade;220795.088210038;JUN 2026;2026-06-01
Monthly;2026;APR;;Transportation and Storage;74569.0777264;APR 2026;2026-04-01
Monthly;2026;JUN;;Accommodation and Food Service Activities;60968.4322754042;JUN 2026;2026-06-01
Monthly;2026;MAY;;Financial and Insurance Activities;194570.00590779;MAY 2026;2026-05-01
Monthly;2026;JUL;;Financial and Insurance Activities;191393.909738008;JUL 2026;2026-07-01
Monthly;2026;APR;;Real Estate Activities;411898.497405213;APR 2026;2026-04-01
Monthly;2026;JUN;;Real Estate Activities;419226.67586341;JUN 2026;2026-06-01
Monthly;2026;JAN;;Professional, Scientific and Technical Activities;17370.641;JAN 2026;2026-01-01
Monthly;2026;APR;;Administrative and Support Service Activities;75851.00627575;APR 2026;2026-04-01
Monthly;2026;JUN;;Administrative and Support Service Activities;75397.87;JUN 2026;2026-06-01
Monthly;2026;MAY;;Human Health and Social Work Activities;31718.9895989152;MAY 2026;2026-05-01
Monthly;2026;APR;;Individuals' Loans;1453257.92090178;APR 2026;2026-04-01
Monthly;2026;JUN;;Individuals' Loans;1454986.20782868;JUN 2026;2026-06-01
Monthly;2026;JUL;;Individuals' Loans;1465789.46445761;JUL 2026;2026-07-01
Monthly;2026;JAN;;Total;3319308.15662555;JAN 2026;2026-01-01
Monthly;2026;JUN;;Total;3419326.45403674;JUN 2026;2026-06-01
Monthly;2026;MAR;;Transportation and Storage;75517.78661092;MAR 2026;2026-03-01
Monthly;2026;JUN;;Transportation and Storage;74924.65368734;JUN 2026;2026-06-01
Monthly;2026;JAN;;Accommodation and Food Service Activities;56922.7688098366;JAN 2026;2026-01-01
Monthly;2026;APR;;Accommodation and Food Service Activities;59580.4466359446;APR 2026;2026-04-01
Monthly;2026;APR;;Information and Communication;26845.31987886;APR 2026;2026-04-01
Quarterly;2026;;Q1;Agriculture, Forestry and Fishing;10650.017;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Mining and Quarrying;49015.424;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Electricity, Gas and Water Supplies;222859.214285249;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Construction;150843.800862045;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Real Estate Activities;408960.122775218;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Real Estate Activities;419226.67586341;Q2 2026;2026-04-01
Quarterly;2026;;Q1;Individuals' Loans;1450599.24984973;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Individuals' Loans;1454986.20782868;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Other Activities;178015.71301025;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Total;3419326.45403674;Q2 2026;2026-04-01
Monthly;2026;MAR;;Agriculture, Forestry and Fishing;10650.017;MAR 2026;2026-03-01
Monthly;2026;APR;;Construction;146650.108242157;APR 2026;2026-04-01
Monthly;2026;JUL;;Wholesale and Retail Trade;217780.97937031;JUL 2026;2026-07-01
Monthly;2026;MAY;;Transportation and Storage;75022.67159733;MAY 2026;2026-05-01
Monthly;2026;JUL;;Accommodation and Food Service Activities;60101.9653560464;JUL 2026;2026-07-01
Monthly;2026;FEB;;Information and Communication;28799.95395486;FEB 2026;2026-02-01
Monthly;2026;MAY;;Information and Communication;27341.31379886;MAY 2026;2026-05-01
Monthly;2026;JUN;;Information and Communication;28026.25494086;JUN 2026;2026-06-01
Monthly;2026;MAR;;Financial and Insurance Activities;184855.574985042;MAR 2026;2026-03-01
Monthly;2026;JAN;;Real Estate Activities;397293.607749794;JAN 2026;2026-01-01
Monthly;2026;FEB;;Administrative and Support Service Activities;75785.634;FEB 2026;2026-02-01
Monthly;2026;JUL;;Administrative and Support Service Activities;76775.124;JUL 2026;2026-07-01
Monthly;2026;MAR;;Human Health and Social Work Activities;30060.5120507898;MAR 2026;2026-03-01
Monthly;2026;APR;;Human Health and Social Work Activities;30961.9137723896;APR 2026;2026-04-01
Monthly;2026;MAY;;Other Activities;179968.74292821;MAY 2026;2026-05-01
Monthly;2026;JUL;;Other Activities;179452.824733432;JUL 2026;2026-07-01
Quarterly;2026;;Q1;Construction;143486.214910927;Q1 2026;2026-01-01
Quarterly;2026;;Q1;Information and Communication;26893.87195486;Q1 2026;2026-01-01
Quarterly;2026;;Q2;Information and Communication;28026.25494086;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Financial and Insurance Activities;195581.25871961;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Professional, Scientific and Technical Activities;14671.8659977066;Q2 2026;2026-04-01
Quarterly;2026;;Q2;Human Health and Social Work Activities;32411.4219989297;Q2 2026;2026-04-01
Monthly;2026;JAN;;Mining and Quarrying;50783.197;JAN 2026;2026-01-01
Monthly;2026;FEB;;Mining and Quarrying;49181.188;FEB 2026;2026-02-01
Monthly;2026;MAR;;Mining and Quarrying;49015.424;MAR 2026;2026-03-01
Monthly;2026;APR;;Electricity, Gas and Water Supplies;231581.379254176;APR 2026;2026-04-01
Monthly;2026;MAY;;Electricity, Gas and Water Supplies;234906.169281874;MAY 2026;2026-05-01
Monthly;2026;JUN;;Construction;150843.800862045;JUN 2026;2026-06-01
Monthly;2026;JUL;;Construction;146896.02377422;JUL 2026;2026-07-01
Monthly;2026;JAN;;Transportation and Storage;75061.83645035;JAN 2026;2026-01-01
Monthly;2026;JUL;;Transportation and Storage;78173.47236367;JUL 2026;2026-07-01
Monthly;2026;FEB;;Accommodation and Food Service Activities;58994.116083407;FEB 2026;2026-02-01
Monthly;2026;MAR;;Information and Communication;26893.87195486;MAR 2026;2026-03-01
Monthly;2026;JUL;;Information and Communication;27905.22550186;JUL 2026;2026-07-01
Monthly;2026;JUN;;Financial and Insurance Activities;195581.25871961;JUN 2026;2026-06-01
Monthly;2026;MAR;;Professional, Scientific and Technical Activities;18556.343;MAR 2026;2026-03-01
Monthly;2026;JUN;;Professional, Scientific and Technical Activities;14671.8659977066;JUN 2026;2026-06-01
Monthly;2026;MAR;;Education;7887.99420002249;MAR 2026;2026-03-01
Monthly;2026;JUL;;Education;8391.88478451472;JUL 2026;2026-07-01
Monthly;2026;FEB;;Human Health and Social Work Activities;29482.7100016909;FEB 2026;2026-02-01
Monthly;2026;JUL;;Human Health and Social Work Activities;34236.4740898101;JUL 2026;2026-07-01
Monthly;2026;MAR;;Individuals' Loans;1450599.24984973;MAR 2026;2026-03-01
Monthly;2026;FEB;;Other Activities;171881.11876188;FEB 2026;2026-02-01
Monthly;2026;APR;;Other Activities;174130.26249219;APR 2026;2026-04-01
Monthly;2026;FEB;;Total;3334905.48597261;FEB 2026;2026-02-01
Monthly;2026;MAR;;Total;3355205.89191504;MAR 2026;2026-03-01
Monthly;2026;MAY;;Total;3393794.35502891;MAY 2026;2026-05-01
Monthly;2026;JUL;;Total;3433806.13211631;JUL 2026;2026-07-01
