Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Annually;2023;;;Hotels;Number of Transactions;34305.559;2023-01-01;2023;Hotels :  Number of Transactions
Annually;2023;;;Clothing and Footwear;Sales;43090980.4462169;2023-01-01;2023;Clothing and Footwear :  Sales
Annually;2023;;;Recreation and Culture;Sales;14956789.3628498;2023-01-01;2023;Recreation and Culture :  Sales
Annually;2023;;;Furniture;Number of Transactions;58624.597;2023-01-01;2023;Furniture :  Number of Transactions
Annually;2023;;;Telecommunication;Sales;5107118.51290994;2023-01-01;2023;Telecommunication :  Sales
Annually;2023;;;Education;Number of Transactions;6471.494;2023-01-01;2023;Education :  Number of Transactions
Annually;2023;;;Total;Number of Transactions;8971739.435;2023-01-01;2023;Total :  Number of Transactions
Annually;2023;;;Total;Sales;613956933.324021;2023-01-01;2023;Total :  Sales
Quarterly;2023;;Q2;Transportation;Number of Transactions;31707.02;2023-04-01;Q2 2023;Transportation :  Number of Transactions
Quarterly;2023;;Q3;Transportation;Number of Transactions;33957.139;2023-07-01;Q3 2023;Transportation :  Number of Transactions
Quarterly;2023;;Q1;Health;Number of Transactions;96525.537;2023-01-01;Q1 2023;Health :  Number of Transactions
Quarterly;2023;;Q2;Health;Number of Transactions;96498.952;2023-04-01;Q2 2023;Health :  Number of Transactions
Quarterly;2023;;Q3;Health;Number of Transactions;97190.016;2023-07-01;Q3 2023;Health :  Number of Transactions
Quarterly;2023;;Q1;Hotels;Number of Transactions;7834.327;2023-01-01;Q1 2023;Hotels :  Number of Transactions
Quarterly;2023;;Q3;Hotels;Sales;3461392.90047994;2023-07-01;Q3 2023;Hotels :  Sales
Quarterly;2023;;Q4;Hotels;Sales;3992318.23851994;2023-10-01;Q4 2023;Hotels :  Sales
Quarterly;2023;;Q1;Beverage and Food;Number of Transactions;471886.553;2023-01-01;Q1 2023;Beverage and Food :  Number of Transactions
Quarterly;2023;;Q1;Beverage and Food;Sales;23727218.2538722;2023-01-01;Q1 2023;Beverage and Food :  Sales
Quarterly;2023;;Q2;Clothing and Footwear;Number of Transactions;89791.794;2023-04-01;Q2 2023;Clothing and Footwear :  Number of Transactions
Quarterly;2023;;Q4;Clothing and Footwear;Sales;10139166.1555715;2023-10-01;Q4 2023;Clothing and Footwear :  Sales
Quarterly;2023;;Q1;Recreation and Culture;Sales;3597029.82223995;2023-01-01;Q1 2023;Recreation and Culture :  Sales
Quarterly;2023;;Q3;Miscellaneous Goods and Services;Sales;16995864.2471743;2023-07-01;Q3 2023;Miscellaneous Goods and Services :  Sales
Quarterly;2023;;Q4;Electronic & Electric Devices;Sales;2984170.34117998;2023-10-01;Q4 2023;Electronic & Electric Devices :  Sales
Quarterly;2023;;Q4;Furniture;Number of Transactions;15467.529;2023-10-01;Q4 2023;Furniture :  Number of Transactions
Quarterly;2023;;Q2;Construction & Building Materials;Sales;3928289.19397988;2023-04-01;Q2 2023;Construction & Building Materials :  Sales
Quarterly;2023;;Q3;Construction & Building Materials;Sales;4366677.25082987;2023-07-01;Q3 2023;Construction & Building Materials :  Sales
Quarterly;2023;;Q1;Jewelry;Number of Transactions;2904.606;2023-01-01;Q1 2023;Jewelry :  Number of Transactions
Quarterly;2023;;Q2;Jewelry;Sales;3616044.97086995;2023-04-01;Q2 2023;Jewelry :  Sales
Quarterly;2023;;Q3;Jewelry;Sales;2642690.60856997;2023-07-01;Q3 2023;Jewelry :  Sales
Quarterly;2023;;Q3;Telecommunication;Number of Transactions;9477.656;2023-07-01;Q3 2023;Telecommunication :  Number of Transactions
Quarterly;2023;;Q1;Telecommunication;Sales;1240532.71966;2023-01-01;Q1 2023;Telecommunication :  Sales
Quarterly;2023;;Q3;Education;Sales;3916659.20662001;2023-07-01;Q3 2023;Education :  Sales
Quarterly;2023;;Q4;Education;Sales;2004189.51459;2023-10-01;Q4 2023;Education :  Sales
Quarterly;2023;;Q1;Public Utilities;Number of Transactions;17215.965;2023-01-01;Q1 2023;Public Utilities :  Number of Transactions
Quarterly;2023;;Q1;Others;Sales;33089102.7388112;2023-01-01;Q1 2023;Others :  Sales
Quarterly;2023;;Q2;Total;Number of Transactions;2174009.305;2023-04-01;Q2 2023;Total :  Number of Transactions
Quarterly;2023;;Q3;Total;Number of Transactions;2318367.827;2023-07-01;Q3 2023;Total :  Number of Transactions
Monthly;2023;MAR;;Transportation;Number of Transactions;10573.024;2023-03-01;MAR 2023;Transportation :  Number of Transactions
Monthly;2023;DEC;;Transportation;Number of Transactions;11627.015;2023-12-01;DEC 2023;Transportation :  Number of Transactions
Monthly;2023;JAN;;Transportation;Sales;2666195.26261997;2023-01-01;JAN 2023;Transportation :  Sales
